episode,score
1,10
2,13
3,10
4,5
5,5
6,4
7,23
8,17
9,20
10,12
11,11
12,8
13,24
14,12
15,23
16,17
17,4
18,2
19,7
20,7
21,18
22,7
23,17
24,7
25,3
26,14
27,14
28,3
29,11
30,13
31,11
32,16
33,8
34,8
35,1
36,20
37,23
38,18
39,4
40,31
41,10
42,21
43,27
44,17
45,12
46,14
47,1
48,7
49,9
50,26
51,23
52,12
53,29
54,12
55,12
56,27
57,20
58,14
59,20
60,10
61,10
62,13
63,4
64,1
65,34
66,14
67,14
68,20
69,18
70,8
71,18
72,10
73,10
74,21
75,3
76,37
77,37
78,26
79,15
80,5
81,11
82,18
83,24
84,5
85,15
86,15
87,37
88,6
89,6
90,23
91,4
92,4
93,14
94,4
95,11
96,24
97,16
98,8
99,12
100,12
101,15
102,15
103,10
104,7
105,15
106,18
107,20
108,28
109,27
110,5
111,15
112,4
113,2
114,17
115,24
116,34
117,29
118,9
119,18
120,30
121,12
122,35
123,19
124,25
125,5
126,25
127,7
128,28
129,27
130,23
131,16
132,13
133,4
134,45
135,6
136,13
137,14
138,25
139,29
140,5
141,34
142,36
143,25
144,20
145,34
146,25
147,13
148,17
149,10
150,4
151,20
